Geneid	Fx593-CIM0DP-RNA-R1	Fx593-CIM0DP-RNA-R2	Fx600-CIM0DP-RNA-R1	Fx600-CIM0DP-RNA-R2
XXX1X06050	795	270	904	613
XXX1X06060	225	406	1	6
XXX1X06070	1413	1276	473	559
XXX1X04443	1	0	5	0
XXX1X06080	0	0	1	4
XXX1X06090	0	0	0	0
XXX1X06100	0	0	52	0
XXX1X06110	557	0	0	197
XXX1X06120	0	0	1	2
XXX1X06130	0	51	4	467
XXX1X06135	0	0	19	289
XXX1X06137	0	0	0	0
XXX1X06140	3	0	3	73
XXX1X06143	0	0	1	0
XXX1X06150	6	1	7	1
XXX1X06148	0	168	0	0
XXX1X06160	0	0	4	0
XXX1X06170	0	0	3	2
XXX1X04447	0	0	0	0
XXX1X06180	0	0	0	2
XXX1X06190	153	1020	135	274
XXX1X06200	1635	1593	548	561
XXX1X06210	3388	1944	1022	267
XXX1X06220	0	182	4	4
XXX1X06225	0	0	3	0
XXX1X06230	1137	115	393	29
XXX1X06240	0	2	2	301
XXX1X06250	0	209	2	37
XXX1X06265	0	124	2	3
XXX1X06260	0	0	0	0
XXX1X06270	0	63	2	0
XXX1X06280	0	0	1	0
XXX1X06290	11	212	4	3
XXX1X06310	0	2	12	8
XXX1X06320	0	0	0	2
XXX1X06330	0	0	1	2
XXX1X06340	0	0	3	0
XXX1X06350	0	1	1	2
XXX1X06360	0	0	5	4
XXX1X06370	314	1	351	2
XXX1X06380	2	0	7	204
XXX1X06390	261	598	372	182
XXX1X06400	1164	2572	107	411
XXX1X04453	0	82	0	1
XXX1X06410	2897	3705	4084	3516
XXX1X06420	58	0	1	21
XXX1X06430	1	4	131	434
XXX1X06440	4	0	4	4
XXX1X06450	44	3	4	0
XXX1X04463	0	0	0	0
XXX1X06460	291	0	152	140
XXX1X04467	0	0	47	0
XXX1X06470	1	384	1	150
XXX1X06475	0	0	0	0
XXX1X06480	0	0	0	0
XXX1X06490	38	3	36	15
XXX1X06500	92	107	22	54
XXX1X04473	0	2	1	0
XXX1X06515	364	170	69	142
XXX1X04477	0	0	2	1
XXX1X06510	25	46	2	141
XXX1X06520	1	0	3	5
XXX1X06530	0	0	0	0
XXX1X06540	1	0	0	0
XXX1X06550	0	318	6	0
XXX1X06560	27	0	0	2
XXX1X04483	0	0	0	0
XXX1X06570	1463	1299	336	587
XXX1X06580	0	0	7	3
XXX1X06590	5	718	516	6
XXX1X06610	0	0	0	0
XXX1X06620	179	0	236	565
XXX1X06630	594	859	2215	1287
XXX1X06640	1718	2481	180	556
XXX1X06645	0	191	1	151
XXX1X04487	0	0	0	0
XXX1X06650	1	0	333	665
XXX1X06660	1	3	4	1
XXX1X06670	211	343	23	8
XXX1X06680	2	133	0	4184
XXX1X06690	1	0	3	2
XXX1X06700	879	1026	601	261
XXX1X06710	0	5	1	2
XXX1X04493	0	0	0	0
XXX1X04497	0	0	0	0
XXX1X06720	16	195	24	9
XXX1X06730	0	570	2	5
XXX1X06740	1	0	2	1
XXX1X06750	1	0	19	11
XXX1X06760	0	0	0	0
XXX1X04503	0	0	0	0
XXX1X06770	275	92	1	265
XXX1X06780	1254	691	26	458
XXX1X06790	113	18	30	5
XXX1X04507	0	0	0	0
XXX1X06800	48	423	238	157
XXX1X04513	0	0	0	0
XXX1X06810	0	0	1	0
XXX1X06820	0	1	3	84
XXX1X06830	0	0	4	2
XXX1X06840	0	124	12	376
XXX1X06850	278	310	255	1
XXX1X04517	0	0	0	1
XXX1X06860	0	1	0	0
XXX1X04523	2	6	1	1
XXX1X06870	1388	695	10	684
XXX1X04527	0	0	0	0
XXX1X06880	0	0	0	0
XXX1X06890	317	553	3	3
XXX1X06900	854	1636	23	82
XXX1X06910	0	1	2	3
XXX1X06920	0	0	0	4
XXX1X06923	1	0	1	0
XXX1X04533	0	0	0	0
XXX1X06925	0	0	0	0
XXX1X06930	0	0	0	0
XXX1X06950	225	0	1607	510
XXX1X06960	0	0	4	1
XXX1X06970	2	1	1	5
XXX1X06980	127	0	1	23
XXX1X06990	0	0	0	0
XXX1X07000	572	422	3805	2233
XXX1X07010	0	4	5	3
XXX1X04537	0	0	0	0
XXX1X07020	98	30	0	1
XXX1X04547	0	0	0	1
XXX1X07025	0	0	1	0
XXX1X07030	16	55	6	69
XXX1X07040	126	18	627	53
XXX1X07050	1	1	2	0
XXX1X07060	1	0	1	0
XXX1X04557	0	0	0	0
XXX1X07070	1	112	0	0
XXX1X07080	368	1468	537	1406
XXX1X07090	51	0	0	0
XXX1X07100	0	0	0	0
XXX1X07110	301	289	249	896
XXX1X07119	0	23	0	0
XXX1X07120	0	62	0	0
XXX1X04563	0	0	0	0
XXX1X07128	18	39	8	50
XXX1X07130	0	0	0	0
XXX1X07135	9595	9271	30874	21663
XXX1X07140	524	550	439	292
XXX1X07150	958	2520	1609	2703
XXX1X07160	1047	4349	26769	20138
XXX1X07170	351	1357	566	728
XXX1X07175	0	0	1	0
XXX1X07180	0	0	3	2
XXX1X07190	0	0	2	0
XXX1X07200	901	470	0	2
XXX1X07210	84	0	0	12
XXX1X07220	734	301	2	23
XXX1X04567	0	0	0	0
XXX1X07230	278	0	0	183
XXX1X07240	592	569	533	175
XXX1X07250	339	768	2	1
XXX1X07260	0	0	2	2
XXX1X07270	2	0	3	0
XXX1X07280	49	3	0	321
XXX1X04573	0	0	0	0
XXX1X07290	7	0	1	3
XXX1X07300	0	101	379	195
XXX1X07310	2737	1834	2745	2665
XXX1X07320	0	0	0	188
XXX1X07330	0	203	2	0
XXX1X07340	0	1	0	1
XXX1X07350	1876	5593	1053	3036
XXX1X07360	2102	2383	2906	2940
XXX1X07370	204	14	5	2
XXX1X07380	1	210	9	3
XXX1X07390	1	401	533	3
XXX1X07400	69643	73380	28336	39416
XXX1X07410	2816	8320	2144	947
XXX1X07420	4872	10462	2201	2115
XXX1X07430	3225	3111	2090	1804
XXX1X07440	5	1	7	3
XXX1X07450	0	0	0	1
XXX1X07460	0	0	0	0
XXX1X07470	145	529	129	364
XXX1X04577	0	0	0	0
XXX1X07473	48	1	1	0
XXX1X04583	0	0	0	0
XXX1X07476	23	2	0	67
XXX1X07480	700	577	525	489
XXX1X04587	29	0	29	0
